source_file,source_format,election_type,election_year,round_number,date_scrutin,commune_code,commune_name,status,inscrits,abstentions,votants,blancs,nuls,exprimes,abstentions_pct_inscrits,votants_pct_inscrits,blancs_pct_inscrits,blancs_pct_votants,nuls_pct_inscrits,nuls_pct_votants,exprimes_pct_inscrits,exprimes_pct_votants,liste,conduite_par,nuance,voix,voix_pct_inscrits,voix_pct_exprimes,sieges_conseil_municipal,sieges_conseil_communautaire,source_url
archives-confirmed,ministere_archive_commune_html,municipales,2014,1,2014-03-23,66028,Cabestany,definitif,7689,2599,5090,,,4821,33.80,66.20,,,,,62.70,94.72,M. Jean VILA,M. Jean VILA,LUG,3394,44.14,70.40,25,3,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/MN2014/066/066028.php
archives-confirmed,ministere_archive_commune_html,municipales,2014,1,2014-03-23,66028,Cabestany,definitif,7689,2599,5090,,,4821,33.80,66.20,,,,,62.70,94.72,Mme Colette APPERT,Mme Colette APPERT,LUMP,1427,18.55,29.59,4,0,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/MN2014/066/066028.php
archives-confirmed,ministere_archive_commune_html,municipales,2020,1,2020-03-15,66028,Cabestany,archive,8072,4926,3146,41,56,3049,61.03,38.97,0.51,1.30,0.69,1.78,37.77,96.92,M. Jean VILA,M. Jean VILA,LCOM,1796,22.24,58.90,27,3,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/municipales-2020/066/066028.php
archives-confirmed,ministere_archive_commune_html,municipales,2020,1,2020-03-15,66028,Cabestany,archive,8072,4926,3146,41,56,3049,61.03,38.97,0.51,1.30,0.69,1.78,37.77,96.92,M. Philippe GLEIZES,M. Philippe GLEIZES,LDIV,819,10.14,26.86,4,0,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/municipales-2020/066/066028.php
archives-confirmed,ministere_archive_commune_html,municipales,2020,1,2020-03-15,66028,Cabestany,archive,8072,4926,3146,41,56,3049,61.03,38.97,0.51,1.30,0.69,1.78,37.77,96.92,Mme Colette APPERT,Mme Colette APPERT,LLR,434,5.37,14.23,2,0,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/municipales-2020/066/066028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Alexandre BOLO,,DVD,81,0.99,2.05,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Anthony Léonce Eugène CHIFFRE,,REG,29,0.35,0.73,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Francis DASPE,,NUP,1005,12.26,25.42,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Georges-Henri CHAMBAUD,,REC,201,2.45,5.08,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Loïc BARBARIN,,DIV,0,0.00,0.00,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,M. Romain GRAU,,ENS,960,11.71,24.29,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Cathy POCH,,DSV,68,0.83,1.72,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Christine GAVALDA MOULENAT,,LR,180,2.20,4.55,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Fabienne FOURCADE,,DXG,30,0.37,0.76,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Pascale ADVENARD,,DXG,46,0.56,1.16,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Rita PEIX,,REG,96,1.17,2.43,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Sophie BLANC,,RN,1196,14.59,30.26,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,1,2022-06-12,66028,Cabestany,proclame,8197,4151,4046,58,35,3953,50.64,49.36,0.71,1.43,0.43,0.87,48.22,97.70,Mme Vanessa SCHMITT,,ECO,61,0.74,1.54,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,2,2022-06-19,66028,Cabestany,proclame,8202,4257,3945,246,105,3594,51.90,48.10,3.00,6.24,1.28,2.66,43.82,91.10,M. Romain GRAU,,ENS,1677,20.45,46.66,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2022,2,2022-06-19,66028,Cabestany,proclame,8202,4257,3945,246,105,3594,51.90,48.10,3.00,6.24,1.28,2.66,43.82,91.10,Mme Sophie BLANC,,RN,1917,23.37,53.34,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives-2022/066/06601028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Emmanuel MACRON,,,1361,16.66,22.14,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Fabien ROUSSEL,,,267,3.27,4.34,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Jean LASSALLE,,,238,2.91,3.87,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Jean-Luc MÉLENCHON,,,1123,13.75,18.27,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Nicolas DUPONT-AIGNAN,,,121,1.48,1.97,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Philippe POUTOU,,,43,0.53,0.70,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Yannick JADOT,,,224,2.74,3.64,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,M. Éric ZEMMOUR,,,627,7.68,10.20,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,Mme Anne HIDALGO,,,125,1.53,2.03,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,Mme Marine LE PEN,,,1795,21.97,29.20,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,Mme Nathalie ARTHAUD,,,24,0.29,0.39,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,1,2022-04-10,66028,Cabestany,proclame,8169,1859,6310,100,62,6148,22.76,77.24,1.22,1.58,0.76,0.98,75.26,97.43,Mme Valérie PÉCRESSE,,,200,2.45,3.25,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,2,2022-04-24,66028,Cabestany,proclame,8176,2025,6151,397,188,5566,24.77,75.23,4.86,6.45,2.30,3.06,68.08,90.49,M. Emmanuel MACRON,,,2611,31.93,46.91,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,presidentielles,2022,2,2022-04-24,66028,Cabestany,proclame,8176,2025,6151,397,188,5566,24.77,75.23,4.86,6.45,2.30,3.06,68.08,90.49,Mme Marine LE PEN,,,2955,36.14,53.09,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2022/076/066/066028.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,M. Christophe EUZET,,ENS,989,11.76,16.82,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,M. Francis DASPE,,UG,1466,17.44,24.93,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,M. Jacques CATALDO,,REC,74,0.88,1.26,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,M. Loïc MOSZKOWIEZ,,LR,231,2.75,3.93,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,Mme Annabelle BRUNET,,DVC,232,2.76,3.94,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,Mme Delphine DANAT,,REG,110,1.31,1.87,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,Mme Pascale ADVENARD,,EXG,37,0.44,0.63,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,1,2024-06-30,66028,Cabestany,proclame,8408,2372,6036,101,54,5881,28.21,71.79,1.20,1.67,0.64,0.89,69.95,97.43,Mme Sophie BLANC,,RN,2742,32.61,46.62,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,2,2024-07-07,66028,Cabestany,proclame,8408,2579,5829,413,181,5235,30.67,69.33,4.91,7.09,2.15,3.11,62.26,89.81,M. Francis DASPE,,UG,2130,25.33,40.69,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
archives-confirmed,ministere_archive_commune_html,legislatives,2024,2,2024-07-07,66028,Cabestany,proclame,8408,2579,5829,413,181,5235,30.67,69.33,4.91,7.09,2.15,3.11,62.26,89.81,Mme Sophie BLANC,,RN,3105,36.93,59.31,,,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/legislatives2024/ensemble_geographique/76/66/6601/66028/index.php
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,1,2026-03-15,66028,Cabestany,provisoire,8664,3465,5199,54,48,5097,39.99,60.01,0.62,1.04,0.55,0.92,58.83,98.04,CABESTANY AVANT TOUT,M. Eric POUPET,LDVC,435,5.02,8.53,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,1,2026-03-15,66028,Cabestany,provisoire,8664,3465,5199,54,48,5097,39.99,60.01,0.62,1.04,0.55,0.92,58.83,98.04,CABESTANY NOUVELLE VAGUE,M. Olivier MAS,LRN,1210,13.97,23.74,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,1,2026-03-15,66028,Cabestany,provisoire,8664,3465,5199,54,48,5097,39.99,60.01,0.62,1.04,0.55,0.92,58.83,98.04,LA PASSION DE CABESTANY,Mme Édith PUGNET,LUG,2432,28.07,47.71,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,1,2026-03-15,66028,Cabestany,provisoire,8664,3465,5199,54,48,5097,39.99,60.01,0.62,1.04,0.55,0.92,58.83,98.04,UN CAP POUR CABESTANY,M. Jean-Pierre BRAZES,LDVD,1020,11.77,20.01,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,2,2026-03-22,66028,Cabestany,provisoire,8670,3324,5346,99,72,5175,38.34,61.66,1.14,1.85,0.83,1.35,59.69,96.80,CABESTANY NOUVELLE VAGUE,M. Olivier MAS,LRN,2205,25.43,42.61,7,1,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,2,2026-03-22,66028,Cabestany,provisoire,8670,3324,5346,99,72,5175,38.34,61.66,1.14,1.85,0.83,1.35,59.69,96.80,LA PASSION DE CABESTANY,Mme Édith PUGNET,LUG,2920,33.68,56.43,26,2,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
data/elections/municipales/2026-municipales-cabestany-commune.csv,ministere_commune_csv,municipales,2026,2,2026-03-22,66028,Cabestany,provisoire,8670,3324,5346,99,72,5175,38.34,61.66,1.14,1.85,0.83,1.35,59.69,96.80,UN CAP POUR CABESTANY,M. Jean-Pierre BRAZES,LDVD,50,0.58,0.97,0,0,https://www.resultats-elections.interieur.gouv.fr/municipales2026/ensemble_geographique/76/66/66028/
